Order_id,ProductID_clean,User_id,MarketingChannel,Purchase Platform,Product_Name,Region,AccountCreationMethod,CountryCode,Currency_extracted,Price_USD,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,Time_To_ship
ORD00083712,PROD9569,USER0000022,Instagram,Desktop,Electronics - HDMI Cable,North America,Email,CA,CAD,227.5329726,3/20/2023,2/28/2023,3/22/2023,3/25/2023,3/26/2023,2
ORD00091666,PROD9397,USER0000005,Paid Search,Desktop,Fashion - Hoodie,Europe,Google OAuth,GB,GBP,41.37005262,10/1/2024,9/18/2024,10/5/2024,10/9/2024,,4
ORD00033018,PROD8588,USER0000012,Referral,Mobile Web,Beauty - Serum,North America,Facebook OAuth,US,USD,16.2,12/7/2019,11/10/2019,12/9/2019,12/12/2019,,2
ORD00053418,PROD7879,USER0000004,Paid Search,Desktop,Food - Protein Bar Box,Asia Pacific,Email,SG,SGD,42.81822846,10/12/2020,7/13/2020,10/21/2020,10/26/2020,,9
ORD00063612,PROD6256,USER0000003,Affiliate,Desktop,Electronics - Smart Watch,Europe,Apple ID,IT,EUR,108.7677725,5/10/2021,4/4/2021,5/13/2021,5/17/2021,,3
ORD00072142,PROD3787,USER0041321,Email Marketing,Mobile Web,Beauty - Lipstick,North America,Google OAuth,US,USD,22.98,12/21/2021,11/5/2021,12/23/2021,12/25/2021,,2
ORD00090585,Unknown,USER0000002,Paid Search,Mobile Web,Fashion - Jeans,Middle East,Google OAuth,AE,AED,52.09150206,6/20/2024,2/25/2024,6/23/2024,7/5/2024,,3
ORD00076661,PROD3796,USER0000002,Facebook,Mobile App,Home - Candle,Asia Pacific,Google OAuth,JP,JPY,60.81627764,5/22/2022,2/27/2022,5/24/2022,5/30/2022,,2
ORD00007727,PROD2395,USER0000015,Paid Search,Mobile Web,Fashion - Hoodie,North America,Apple ID,CA,CAD,67.41391892,3/10/2019,1/1/2019,3/12/2019,3/14/2019,3/24/2019,2
ORD00045153,PROD9048,USER0000023,Paid Search,Mobile Web,Electronics - Phone Case,Asia Pacific,Unknown,AU,AUD,150.8856439,5/27/2020,5/27/2020,5/29/2020,6/4/2020,6/14/2020,2
ORD00000150,PROD9727,USER0000003,Facebook,Mobile App,Home - Rug,North America,Unknown,US,USD,71.86,1/2/2019,1/2/2019,1/4/2019,1/8/2019,,2
ORD00091519,PROD1046,USER0000251,Organic Search,Desktop,Electronics - Wireless Earbuds,Middle East,Email,IL,ILS,210.7229384,9/17/2024,3/29/2024,,,,
ORD00061439,PROD3321,USER0000002,Organic Search,Desktop,Electronics - Laptop Stand,Europe,Google OAuth,ES,EUR,129.656398,3/22/2021,1/16/2021,3/23/2021,3/28/2021,,1
ORD00006833,PROD5368,USER0000022,Email Marketing,Mobile Web,Electronics - Keyboard,North America,Email,US,USD,80.08,3/2/2019,1/16/2019,3/5/2019,3/11/2019,,3
ORD00001046,PROD4626,USER0000004,Direct,Mobile Web,Toys - LEGO Set,North America,Unknown,US,USD,92.65,1/10/2019,1/10/2019,1/11/2019,1/15/2019,,1
ORD00065830,PROD7794,USER0000007,Paid Search,Desktop,Electronics - HDMI Cable,Middle East,Google OAuth,AE,AED,175.4221092,7/2/2021,2/18/2021,7/4/2021,7/12/2021,,2
ORD00086645,PROD2278,USER0000002,Affiliate,Mobile Web,  Sports - Yoga Mat  ,Europe,Google OAuth,DE,EUR,128.7203791,9/4/2023,3/28/2023,9/6/2023,9/10/2023,,2
ORD00078467,PROD1057,USER0000002,Display Ads,Desktop,Sports - Protein Powder,North America,Email,US,USD,47.17,7/28/2022,7/26/2022,7/29/2022,7/31/2022,,1
ORD00014449,PROD9014,USER0000034,Instagram,Mobile Web,Electronics - HDMI Cable,North America,Facebook OAuth,CA,CAD,110.0791003,5/14/2019,5/6/2019,5/17/2019,5/20/2019,,3
ORD00019275,PROD2634,USER0000177,Organic Search,Mobile Web,Fashion - Scarf,Asia Pacific,Google OAuth,IN,INR,70.24762051,7/1/2019,4/13/2019,7/3/2019,7/9/2019,,2
ORD00045752,PROD9405,USER0000002,Direct,Desktop,Fashion - Belt,Asia Pacific,Email,AU,AUD,129.2333839,6/5/2020,5/26/2020,,,,
ORD00052614,PROD4814,USER0000076,Facebook,Desktop,Electronics - Bluetooth Speaker,North America,Email,US,USD,161.41,9/28/2020,1/7/2020,10/2/2020,10/5/2020,,4
ORD00092768,PROD9969,USER0000056,Paid Search,Desktop,Books - Mystery Novel,South America,Facebook OAuth,MX,MXN,35.16098332,2/3/2025,12/29/2024,2/5/2025,2/11/2025,2/13/2025,2
ORD00064624,PROD7414,USER0000002,Organic Search,Mobile Web,Beauty - Face Mask,Europe,Google OAuth,ES,EUR,29.83412321,6/3/2021,4/22/2021,6/5/2021,6/12/2021,,2
ORD00014005,PROD3284,USER0000002,Affiliate,Mobile App,Fashion - Backpack,North America,Unknown,US,USD,39.78,5/9/2019,5/9/2019,5/10/2019,5/14/2019,,1
ORD00049243,PROD6754,USER0000002,Paid Search,Desktop,Home - Coffee Maker,Europe,Email,ES,EUR,104.7630331,8/1/2020,7/15/2020,8/6/2020,8/12/2020,,5
ORD00034581,PROD6209,USER0000002,Paid Search,Mobile Web,Fashion - Hoodie,Europe,Phone,IT,EUR,65.92417058,12/26/2019,12/13/2019,12/28/2019,1/3/2020,1/6/2020,2
ORD00083243,PROD1395,USER0000007,Paid Search,Desktop,Home - Storage Basket,Europe,Email,DE,EUR,163.5071089,2/24/2023,1/29/2023,2/27/2023,3/3/2023,,3
ORD00049437,PROD8440,USER0000003,Display Ads,Mobile Web,Electronics - Smart Watch,Europe,Email,FR,EUR,132.6184833,8/5/2020,4/2/2020,8/7/2020,11/8/2020,,2
ORD00011408,PROD2213,USER0000004,Affiliate,Desktop,Fashion - Sneakers,Africa,Facebook OAuth,ZA,ZAR,107.7451606,4/13/2019,1/21/2019,4/19/2019,4/27/2019,,6
ORD00030835,PROD5346,USER0000014,Affiliate,Mobile App,Fashion - Scarf,South America,Google OAuth,BR,BRL,106.0484804,11/10/2019,10/30/2019,11/11/2019,11/16/2019,,1
ORD00073715,PROD4843,USER0000002,Affiliate,Desktop,Home - Storage Basket,South America,Email,MX,MXN,66.00510904,2/9/2022,12/30/2021,,,,
ORD00082833,PROD5433,USER0000002,Organic Search,Mobile Web,Electronics - Laptop Stand,Europe,Google OAuth,GB,GBP,267.8002423,2/3/2023,1/3/2023,,,,
