Marketing Channel,Purchase Platform,Product_Name,Region,AccountCreationMethod,Currency,CountryCode,Order_id,ProductID,User_id,Price_numeric,Price_,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,Time_To_ship
Social Media - Instagram,Desktop,Electronics - HDMI Cable,<function <lambda> at 0x7eee915b4860>,Email,CAD,CA,ORD00083712,PROD9569,USER0000022,310.38,CAD 310.38,2023-03-20 00:00:00,2023-02-28 00:00:00,2023-03-22 00:00:00,2023-03-25 00:00:00,2023-03-26 00:00:00,2.0
Paid Search,Desktop,Fashion - Hoodie,Europe,Google OAuth,GBP,GB,ORD00091666,PROD9397,USER0000005,30.51,GBP 30.51,2024.10.01,2024-09-18 00:00:00,2024-10-05 00:00:00,2024-10-09 00:00:00,,4.0
Referral,Mobile Web,Beauty - Serum,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00033018,PROD8588,USER0000012,16.2,USD 16.20,2019-12-07 00:00:00,11/10/2019,2019-12-09 00:00:00,2019-12-12 00:00:00,,2.0
Paid Search,Desktop,Food - Protein Bar Box,Asia Pacific,Email,SGD,SG,ORD00053418,PROD7879,USER0000004,54.07,SGD 54.07,2020-10-12 00:00:00,2020-07-13 00:00:00,2020-10-21 00:00:00,26-10-2020,,9.0
Affiliate,Desktop,Electronics - Smart Watch,Europe,Apple ID,EUR,IT,ORD00063612,PROD6256,USER0000003,91.8,EUR 91.80,2021-05-10 00:00:00,2021-04-04 00:00:00,2021-05-13 00:00:00,2021-05-17 00:00:00,,3.0
Email Marketing,Mobile Web,Beauty - Lipstick,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00072142,PROD3787,USER0041321,22.98,USD 22.98,2021-12-21 00:00:00,11/05/2021,2021-12-23 00:00:00,2021-12-25 00:00:00,,2.0
  Paid Search  ,Mobile Web,Fashion - Jeans,Middle East,Google OAuth,AED,AE,ORD00090585,,USER0000002,191.28,AED 191.28,2024-06-20 00:00:00,2024-02-25 00:00:00,2024-06-23 00:00:00,2024-07-05 00:00:00,,3.0
Social Media - Facebook,Mobile App,Home - Candle,Asia Pacific,Google OAuth,JPY,,ORD00076661,PROD3796,USER0000002,9327.94,JPY 9327.94,2022-05-22 00:00:00,2022-02-27 00:00:00,2022-05-24 00:00:00,05/30/2022,,2.0
Paid Search,Mobile Web,Fashion - Hoodie,<function <lambda> at 0x7eee915b4860>,Apple ID,CAD,CA,ORD00007727,PROD2395,USER0000015,91.96,CAD 91.96,2019-03-10 00:00:00,01/01/2019,2019-03-12 00:00:00,2019-03-14 00:00:00,2019-03-24 00:00:00,2.0
Paid Search,Mobile Web,Electronics - Phone Case,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,AUD,AU,ORD00045153,PROD9048,USER0000023,212.96,AUD 212.96,2020-05-27 00:00:00,27-05-2020,2020-05-29 00:00:00,2020-06-04 00:00:00,2020-06-14 00:00:00,2.0
Social Media - Facebook,Mobile App,Home - Rug,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00000150,PROD9727,USER0000003,71.86,USD 71.86,2019-01-02 00:00:00,2019-01-02 00:00:00,2019-01-04 00:00:00,01/08/2019,,2.0
Organic Search,Desktop,Electronics - Wireless Earbuds,Middle East,Email,ILS,IL,ORD00091519,PROD1046,USER0000251,652.04,ILS 652.04,2024-09-17 00:00:00,2024-03-29 00:00:00,,,,
Organic Search,Desktop,Electronics - Laptop Stand,Europe,Google OAuth,EUR,ES,ORD00061439,PROD3321,USER0000002,109.43,EUR 109.43,2021-03-22 00:00:00,2021-01-16 00:00:00,2021-03-23 00:00:00,2021-03-28 00:00:00,,1.0
Email Marketing,Mobile Web,Electronics - Keyboard,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00006833,PROD5368,USER0000022,80.08,USD 80.08,2019-03-02 00:00:00,2019-01-16 00:00:00,2019.03.05,2019-03-11 00:00:00,,3.0
Direct,Mobile Web,Toys - LEGO Set,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00001046,PROD4626,USER0000004,92.65,USD 92.65,2019.01.10,2019-01-10 00:00:00,2019-01-11 00:00:00,2019-01-15 00:00:00,,1.0
Paid Search,Desktop,Electronics - HDMI Cable,Middle East,Google OAuth,AED,AE,ORD00065830,PROD7794,USER0000007,644.15,AED 644.15,2021-07-02 00:00:00,2021-02-18 00:00:00,2021-07-04 00:00:00,2021-07-12 00:00:00,,2.0
Affiliate,Mobile Web,  Sports - Yoga Mat  ,Europe,Google OAuth,EUR,DE,ORD00086645,PROD2278,USER0000002,108.64,EUR 108.64,2023.09.04,2023-03-28 00:00:00,2023-09-06 00:00:00,2023.09.10,,2.0
Display Ads,Desktop,Sports - Protein Powder,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00078467,PROD1057,USER0000002,47.17,USD 47.17,2022-07-28,2022-07-26 00:00:00,2022-07-29 00:00:00,2022-07-31 00:00:00,,1.0
Social Media - Instagram,Mobile Web,Electronics - HDMI Cable,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,CAD,CA,ORD00014449,PROD9014,USER0000034,150.16,CAD 150.16,2019-05-14 00:00:00,2019-05-06 00:00:00,2019-05-17 00:00:00,2019-05-20 00:00:00,,3.0
Organic Search,Mobile Web,Fashion - Scarf,Asia Pacific,Google OAuth,INR,,ORD00019275,PROD2634,USER0000177,6363.17,INR 6363.17,2019-07-01 00:00:00,2019-04-13 00:00:00,2019-07-03 00:00:00,2019-07-09 00:00:00,,2.0
Direct,Desktop,Fashion - Belt,Asia Pacific,Email,AUD,AU,ORD00045752,PROD9405,USER0000002,182.4,AUD 182.40,2020-06-05 00:00:00,2020-05-26 00:00:00,,,,
Social Media - Facebook,Desktop,Electronics - Bluetooth Speaker,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00052614,PROD4814,USER0000076,161.41,USD 161.41,2020-09-28 00:00:00,2020-01-07 00:00:00,2020-10-02 00:00:00,2020-10-05 00:00:00,,4.0
Paid Search,Desktop,Books - Mystery Novel,South America,Facebook OAuth,MXN,MX,ORD00092768,PROD9969,USER0000056,602.0,MXN 602.00,2025-02-03 00:00:00,2024.12.29,2025-02-05 00:00:00,2025-02-11 00:00:00,2025-02-13 00:00:00,2.0
Organic Search,Mobile Web,Beauty - Face Mask,Europe,Google OAuth,EUR,ES,ORD00064624,PROD7414,USER0000002,25.18,EUR 25.18,2021-06-03 00:00:00,2021-04-22 00:00:00,2021-06-05 00:00:00,2021-06-12 00:00:00,,2.0
Affiliate,Mobile App,Fashion - Backpack,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00014005,PROD3284,USER0000002,39.78,USD 39.78,2019-05-09 00:00:00,2019-05-09 00:00:00,2019.05.10,2019-05-14 00:00:00,,1.0
Paid Search,Desktop,Home - Coffee Maker,Europe,Email,EUR,ES,ORD00049243,PROD6754,USER0000002,88.42,EUR 88.42,2020.08.01,07/15/2020,2020.08.06,2020-08-12 00:00:00,,5.0
Paid Search,Mobile Web,Fashion - Hoodie,Europe,Phone,EUR,IT,ORD00034581,PROD6209,USER0000002,55.64,EUR 55.64,2019-12-26 00:00:00,12/13/2019,2019-12-28 00:00:00,2020-01-03 00:00:00,2020-01-06 00:00:00,2.0
Paid Search,Desktop,Home - Storage Basket,Europe,Email,EUR,DE,ORD00083243,PROD1395,USER0000007,138.0,EUR 138.00,2023-02-24 00:00:00,2023-01-29 00:00:00,2023-02-27 00:00:00,2023-03-03 00:00:00,,3.0
Display Ads,Mobile Web,Electronics - Smart Watch,Europe,Email,EUR,FR,ORD00049437,PROD8440,USER0000003,111.93,EUR 111.93,2020-08-05 00:00:00,2020-04-02 00:00:00,2020.08.07,11-08-2020,,2.0
Affiliate,Desktop,Fashion - Sneakers,Africa,Facebook OAuth,ZAR,ZA,ORD00011408,PROD2213,USER0000004,1725.48,1725 ZAR,2019-04-13 00:00:00,2019-01-21 00:00:00,2019-04-19 00:00:00,2019-04-27 00:00:00,,6.0
Affiliate,Mobile App,Fashion - Scarf,South America,Google OAuth,BRL,BR,ORD00030835,PROD5346,USER0000014,553.87,BRL 553.87,2019-11-10 00:00:00,2019-10-30 00:00:00,2019-11-11 00:00:00,2019-11-16 00:00:00,,1.0
Affiliate,Desktop,Home - Storage Basket,South America,Email,MXN,MX,ORD00073715,PROD4843,USER0000002,1130.09,MXN 1130.09,2022-02-09 00:00:00,30-12-2021,,,,
Organic Search,Mobile Web,Electronics - Laptop Stand,Europe,Google OAuth,GBP,GB,ORD00082833,PROD5433,USER0000002,197.5,GBP 197.50,2023-02-03 00:00:00,2023-01-03 00:00:00,,,,
Organic Search,Mobile Web,Electronics - Mouse,<function <lambda> at 0x7eee915b4860>,Apple ID,CAD,CA,ORD00096337,PROD8216,USER0000003,301.55,CAD 301.55,2025-12-31 00:00:00,2025-11-15 00:00:00,2026-01-03 00:00:00,2026.01.05,,3.0
Direct,Desktop,Sports - Resistance Bands,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00063688,PROD6536,USER0000037,134.06,USD 134.06,2021-05-12 00:00:00,2021-02-21 00:00:00,2021-05-15 00:00:00,19-05-2021,,3.0
Paid Search,Desktop,Electronics - Wireless Earbuds,Europe,Facebook OAuth,GBP,GB,ORD00034787,PROD2163,USER0000097,97.26,GBP 97.26,2019-12-29,2019-10-09 00:00:00,2019-12-30 00:00:00,2020-01-03 00:00:00,,1.0
Organic Search,Mobile Web,Food - Hot Sauce,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00059193,PROD1517,USER0000003,33.11,USD 33.11,2021-02-02 00:00:00,2021-01-07 00:00:00,,,,
Organic Search,Mobile Web,Home - Rug,<function <lambda> at 0x7eee915b4860>,Apple ID,USD,US,ORD00074893,PROD6276,USER0000002,76.89,USD 76.89,2022-03-22 00:00:00,2021-10-02 00:00:00,2022-03-26 00:00:00,2022-03-29 00:00:00,,4.0
Organic Search,Desktop,Fashion - Backpack,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00059662,PROD1096,USER0000002,50.98,USD 50.98,2021-02-12 00:00:00,2020-09-22 00:00:00,2021-02-13 00:00:00,2021-02-16 00:00:00,,1.0
Paid Search,Mobile Web,Electronics - Bluetooth Speaker,  <function <lambda> at 0x7eee915b4860>  ,Email,USD,US,ORD00068512,PROD1919,USER0000024,232.49,USD 232.49,2021-09-09 00:00:00,2021-09-02 00:00:00,,,,
Organic Search,Mobile Web,Electronics - Portable Charger,Europe,Email,EUR,FR,ORD00069276,PROD8181,USER0000003,52.5,EUR 52.50,09/30/2021,2021-08-29 00:00:00,,,,
Social Media - Facebook,Mobile Web,Fashion - Jacket,Europe,Apple ID,EUR,NL,ORD00050993,PROD1791,USER0000007,82.76,EUR 82.76,2020-08-30 00:00:00,2020-06-30 00:00:00,,,,
Direct,Desktop,Fashion - Sunglasses,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00024813,PROD2210,USER0000024,66.59,USD 66.59,2019-08-31 00:00:00,2019-05-10 00:00:00,09/07/2019,2019-09-10 00:00:00,,7.0
Email Marketing,Desktop,Beauty - Serum,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00027144,PROD2071,USER0000002,29.29,USD 29.29,2019-09-27 00:00:00,2019-08-27 00:00:00,2019-09-29 00:00:00,2019-10-01 00:00:00,,2.0
Email Marketing,Mobile Web,Beauty - Face Moisturizer,<function <lambda> at 0x7eee915b4860>,Email,CAD,CA,ORD00094701,PROD9960,USER0000002,65.57,CAD 65.57,2025-10-19 00:00:00,2025-09-24 00:00:00,,,,
Organic Search,Desktop,Books - Cookbook,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00001350,PROD2215,USER0000877,35.0,USD 35.00,2019-01-12 00:00:00,2019-01-01 00:00:00,2019-01-16 00:00:00,01/18/2019,,4.0
  Paid Search  ,Mobile App,Fashion - Backpack,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00082401,PROD4447,USER0000024,82.27,USD 82.27,2023-01-13 00:00:00,10/11/2022,2023-01-14 00:00:00,19-01-2023,,1.0
Paid Search,Desktop,Fashion - Hoodie,Europe,Email,GBP,GB,ORD00047327,PROD6983,USER0000200,35.68,36 GBP,2020-06-30,2020-02-15 00:00:00,2020-07-01 00:00:00,2020-07-07 00:00:00,,1.0
Paid Search,Desktop,Fashion - Jeans,Europe,Google OAuth,EUR,ES,ORD00026250,PROD7020,USER0000004,50.52,EUR 50.52,2019-09-16 00:00:00,2019-09-10 00:00:00,,,,
Paid Search,Desktop,Beauty - Eye Shadow Palette,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00060450,PROD8420,USER0000031,46.54,USD 46.54,2021-03-01 00:00:00,2021-02-09 00:00:00,2021-03-02 00:00:00,2021-03-07 00:00:00,,1.0
Organic Search,Desktop,Electronics - Phone Case,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00019661,PROD1548,USER0000007,112.76,USD 112.76,2019-07-05 00:00:00,2019-04-01 00:00:00,2019.07.07,2019-07-10 00:00:00,,2.0
Email Marketing,Mobile Web,Electronics - USB Cable,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,AUD,,ORD00063822,PROD2602,USER0000317,278.16,AUD 278.16,2021-05-15 00:00:00,2021-05-15 00:00:00,,,,
Direct,Mobile App,Fashion - Jeans,South America,<function <lambda> at 0x7eee90f8bc40>,MXN,MX,ORD00054626,PROD4034,USER0000002,924.63,MXN 924.63,2020-11-04 00:00:00,2020-11-04 00:00:00,2020-11-07 00:00:00,11/15/2020,,3.0
Organic Search,Mobile Web,Electronics - Wireless Earbuds,Europe,Email,EUR,NL,ORD00058838,PROD1345,USER0000004,106.94,EUR 106.94,2021-01-25 00:00:00,2021-01-08 00:00:00,2021-01-27 00:00:00,2021-02-03 00:00:00,,2.0
Paid Search,Mobile Web,Toys - LEGO Set,<function <lambda> at 0x7eee915b4860>,Apple ID,USD,US,ORD00075195,PROD5902,USER0000013,64.08,USD 64.08,2022-03-31 00:00:00,2022-03-17 00:00:00,2022-04-02 00:00:00,2022-04-08 00:00:00,,2.0
Social Media - Facebook,Mobile App,Electronics - Keyboard,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00063980,PROD2499,USER0000002,144.26,USD 144.26,2021-05-19 00:00:00,2021-03-16 00:00:00,2021-05-25 00:00:00,28-05-2021,,6.0
Direct,Desktop,Food - Snack Mix,Asia Pacific,Email,JPY,JP,ORD00038331,PROD9234,USER0000015,3819.7,JPY 3819.70,02/16/2020,2020-01-01 00:00:00,2020-02-20 00:00:00,2020-02-26 00:00:00,,4.0
Organic Search,Mobile Web,Electronics - Portable Charger,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00093416,PROD4658,USER0000135,132.05,USD 132.05,2025-04-18 00:00:00,2025-03-07 00:00:00,,,,
