Order Id,Product Id,Product Name,Region,Country Code,Marketing Channel,Purchase Platform,Account Creation Method,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,User Id,Currency,Local Price,Price_Flag,Purchase_Year,Purchase_Month,Purchase_Quarter,Year_Month,Delivery_Days,Is_Refunded
ORD1000000,PROD106,External Storage 1TB,Middle East,UAE,Partner,Walmart,Unknown,7/14/2023,7/3/2023,7/20/2023,7/26/2023,,USER35867,USD,76.0,,2023.0,7.0,3.0,2023-07,6.0,0
ORD1000001,PROD100,PlayStation 5,Asia Pacific,Australia,Online,Amazon,Social,8/9/2023,7/12/2023,8/13/2023,8/17/2023,,USER12803,USD,792.51,,2023.0,8.0,3.0,2023-08,4.0,0
ORD1000002,PROD103,Dell Gaming Laptop,Unknown,Brazil,Mobile App,eBay,Email,3/28/2019,3/11/2019,4/3/2019,4/5/2019,,USER28944,USD,1153.85,,2019.0,3.0,1.0,2019-03,2.0,0
ORD1000003,PROD102,Microsoft Xbox Series X,North America,Mexico,In-Store,Amazon,Unknown,2/8/2019,2/6/2019,2/11/2019,2/17/2019,,USER13359,USD,477.07,,2019.0,2.0,1.0,2019-02,6.0,0
ORD1000004,PROD106,External Storage 1TB,Middle East,Saudi Arabia,Mobile App,Direct,Email,7/21/2023,7/17/2023,7/26/2023,7/28/2023,,USER10592,USD,89.11,,2023.0,7.0,3.0,2023-07,2.0,0
ORD1000005,PROD106,External Storage 1TB,Latin America,Chile,In-Store,Shopify,Unknown,1/4/2025,12/19/2024,1/10/2025,1/12/2025,1/30/2025,USER40898,USD,121.47,,2025.0,1.0,1.0,2025-01,2.0,1
ORD1000006,PROD106,External Storage 1TB,Middle East,UAE,In-Store,eBay,Unknown,12/30/2020,12/19/2020,1/5/2021,1/9/2021,,USER01697,USD,203.16,,2020.0,12.0,4.0,2020-12,4.0,0
ORD1000007,PROD100,PlayStation 5,North America,Mexico,Partner,Walmart,Social,6/5/2024,5/28/2024,6/7/2024,6/12/2024,7/4/2024,USER44224,USD,476.47,,2024.0,6.0,2.0,2024-06,5.0,1
ORD1000008,PROD104,Logitech Gaming Headset,Middle East,UAE,Online,Direct,Email,8/18/2024,8/15/2024,8/25/2024,8/31/2024,,USER05370,USD,127.52,,2024.0,8.0,3.0,2024-08,6.0,0
ORD1000009,PROD105,Dell Gaming Mouse,North America,United States,Mobile App,eBay,Email,5/7/2020,4/23/2020,5/14/2020,5/19/2020,,USER12267,USD,56.6,,2020.0,5.0,2.0,2020-05,5.0,0
