Order Id,Product Id,Product Name,Region,Country Code,Marketing Channel,Purchase Platform,Account Creation Method,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,User Id,Currency,Local Price
ORD1000000,PROD106,External Storage,Middle East,UAE,partner,walmart ,,7/14/2023,7/3/2023,2023-07-20T13:03:07.183Z,7/26/2023,,USER35867,USD,76
ORD1000001,PROD100,PS5,Asia Pacific,AU, Online , Amazon,Social,8/9/2023,2023-07-12T00:27:32.306Z,2023-08-13T00:27:32.306Z,2023-08-17T00:27:32.306Z,,USER12803,USD,792.51
ORD1000002,PROD103, Dell gaming laptop ,,BR,mobile app,eBay,Email,3/28/2019,3/11/2019,4/3/2019,4/5/2019,,USER28944,USD,1153.85
ORD1000003,PROD102, XboxSeriesX,North America,Mexico,In-Store ,amazon,,2/8/2019,2019-02-06T11:38:22.042Z,2/11/2019,2/17/2019,,USER13359,USD,477.07
ORD1000004,PROD106,1TB Storage ,Middle East , SA,mobile app,Direct,Email,7/21/2023,2023-07-17T00:03:58.146Z,7/26/2023,7/28/2023,,USER10592,USD,89.11
ORD1000005,PROD106,external storage 1tb, Latin America, Chile,In-Store ,shopify,,1/4/2025,12/19/2024,2025-01-10T01:08:51.648Z,1/12/2025,1/30/2025,USER40898,USD,121.47
ORD1000006,PROD106,External Storage 1TB,Middle East, UAE , in-store,ebay ,,12/30/2020,12/19/2020,2021-01-05T07:07:45.977Z,2021-01-09T07:07:45.977Z,,USER01697,US,203.16
ORD1000007,PROD100,PlayStation5, North America , MX,partner ,Walmart,Social,6/5/2024,2024-05-28T11:52:21.536Z,6/7/2024,6/12/2024,7/4/2024,USER44224,USD,476.47
ORD1000008,PROD104, Logitech Headset ,Middle East , UAE , online , Direct ,Email,8/18/2024,8/15/2024,8/25/2024,8/31/2024,,USER05370,USD,127.52
ORD1000009,PROD105,Dell Gaming Mouse , North America , United States ,Mobile App , eBay ,Email,5/7/2020,4/23/2020,2020-05-14T14:49:32.947Z,5/19/2020,,USER12267,USD,56.6
ORD1000010,PROD103,Dell Gaming Laptop , Asia Pacific,Singapore ,Partner ,amazon,,11/30/2019,11/18/2019,12/7/2019,12/10/2019,,USER43649,USD,2248.56
ORD1000011,PROD100,PS5, Europe,UK,online ,Walmart ,,8/4/2024,8/3/2024,8/6/2024,8/9/2024,,USER43922,USD,680.53
ORD1000012,PROD105,Gaming Mouse,Europe,Germany,online ,direct,Social,2021-08-01T23:01:02.405Z,,8/4/2021,8/7/2021,,USER01220,USD,113.95
ORD1000013,PROD106,External Storage 1TB , Asia Pacific , AU ,Partner ,Shopify,Social,10/30/2021,10/1/2021,11/4/2021,11/10/2021,,USER17734,USD,-145.31
ORD1000014,PROD102,XBOX SERIES X,Middle East,IL,in-store , shopify,Social,2021-03-25T14:16:36.142Z,2021-03-01T14:16:36.142Z,4/1/2021,4/4/2021,,USER27376,USD,769.56
ORD1000015,PROD102, Microsoft Xbox Series X , Latin America ,Argentina,online,Direct ,Email,7/12/2023,7/6/2023,7/14/2023,7/20/2023,,USER13840,USD,421.29
ORD1000016,PROD103,DELL Gaming Laptop,Asia Pacific , JP, online , Shopify ,Email,3/24/2024,2024-03-12T15:05:46.944Z,3/26/2024,3/31/2024,,USER49664,USD,1726.88
ORD1000017,PROD100,PLAYSTATION 5 , Asia Pacific,Japan,in-store,eBay ,Social,11/2/2020,,11/3/2020,2020-11-09T03:34:28.513Z,,USER18169,USD,1304.69
ORD1000018,PROD104, Gaming Headset,Europe, France,Mobile App, Amazon ,Email,4/18/2021,2021-03-30T09:46:38.050Z,4/24/2021,4/27/2021,,USER28269,USD,130.15
ORD1000019,PROD100, Playstation 5 ,Latin America ,CL , Partner, shopify ,Email,6/4/2022,5/10/2022,6/5/2022,6/11/2022,,USER49980,USD,534.1
ORD1000020,PROD102,Xbox SeriesX, Asia Pacific, Japan , In-Store , Direct ,Email,8/31/2024,8/29/2024,9/5/2024,2024-09-07T12:26:34.158Z,,USER22782,USD,718.71
ORD1000021,PROD100,PlayStation 5,, IL ,online,eBay,Email,7/18/2020,6/21/2020,7/22/2020,7/26/2020,,USER37063,USD,591.5
ORD1000022,PROD104,Logitech Headset ,Latin America,Argentina, Mobile App ,amazon,Email,2019-10-02T16:43:41.143Z,9/6/2019,2019-10-05T16:43:41.143Z,10/8/2019,,USER23973,USD,86.72
ORD1000023,PROD105,Dell Gaming Mouse ,Europe ,DE,Mobile App , walmart,Social,6/4/2020,2020-05-13T16:00:44.873Z,2020-06-06T16:00:44.873Z,2020-06-10T16:00:44.873Z,,USER02069,USD,58.72
ORD1000024,PROD101,NintendoSwitch , Middle East,UAE,mobile app,Walmart,Email,5/3/2021,2021-04-21T21:07:18.120Z,5/8/2021,5/13/2021,,USER07012,USD,474.1
